,x,y,label
0,0.19451499,3.3264818,m6A
1,8.579,5.5775895,m6A
2,10.993983,5.9740767,m6A
3,-1.0363483,3.9771612,m6A
4,9.409189,6.3113585,m6A
5,-0.8877025,3.8679864,m6A
6,3.6264021,1.8591926,m6A
7,3.4478636,1.9685494,m6A
8,10.145603,4.7684937,m6A
9,9.899409,4.7356777,m6A
10,5.6028256,2.9145384,m6A
11,1.5529755,8.412887,m6A
12,9.616635,4.5466557,m6A
13,10.992822,6.6431813,m6A
14,10.530612,4.5473285,m6A
15,10.852668,8.8905525,m6A
16,6.3301153,5.051396,m6A
17,-0.25055936,3.2474246,m6A
18,8.685904,4.461118,m6A
19,-0.35568866,3.4696014,m6A
20,11.029753,5.3639355,m6A
21,4.383245,3.2189503,m6A
22,11.004268,8.409382,m6A
23,7.274984,6.0527744,m6A
24,9.313603,3.3656971,m6A
25,10.973976,6.5781307,m6A
26,10.969191,8.619323,m6A
27,11.249299,7.221343,m6A
28,9.185095,5.279763,m6A
29,10.4396,4.423115,m6A
30,11.052283,8.398911,m6A
31,5.1466994,8.887627,m6A
32,-1.7040164,4.6560154,m6A
33,3.3217697,2.0668685,m6A
34,11.007166,6.2233424,m6A
35,-0.54637206,3.5352764,m6A
36,0.16435012,3.2871644,m6A
37,11.239427,7.0224576,m6A
38,10.698424,8.844285,m6A
39,11.008179,5.0678067,m6A
40,10.884716,6.5180125,m6A
41,5.755261,3.1052969,m6A
42,3.7673662,2.269924,m6A
43,-0.9400047,3.8819418,m6A
44,7.5187984,5.392586,m6A
45,-0.7283603,4.165381,m6A
46,6.462885,5.1053014,m6A
47,9.273226,6.614291,m6A
48,-0.092999905,3.126634,m6A
49,5.324609,2.7289479,m6A
50,-2.496486,6.0227423,m6A
51,3.5313487,2.082463,m6A
52,7.451304,5.549251,m6A
53,-2.9532113,5.668705,m6A
54,-2.5281355,6.415734,m6A
55,8.600326,5.366368,m6A
56,4.4867396,3.2585006,m6A
57,6.7304854,3.390693,m6A
58,5.7939973,8.327018,m6A
59,9.000452,3.087462,m6A
60,7.3010683,6.0731583,m6A
61,6.042775,3.2777886,m6A
62,-0.23547754,3.2191358,m6A
63,-0.6125777,3.5791707,m6A
64,10.825467,8.962563,m6A
65,4.5506816,3.265117,m6A
66,-0.88923395,4.077802,m6A
67,11.117748,7.0615354,m6A
68,10.91304,7.6561785,m6A
69,8.459075,3.305594,m6A
70,8.480891,5.779834,m6A
71,-1.5287256,4.3753896,m6A
72,-1.769005,4.5638776,m6A
73,10.491369,8.31948,m6A
74,10.393973,6.917743,m6A
75,10.471658,6.862397,m6A
76,8.260259,5.253702,m6A
77,-1.7077199,4.5344853,m6A
78,0.22552636,3.3600595,m6A
79,11.109344,8.717006,m6A
80,6.4135365,5.071925,m6A
81,8.705014,4.428183,m6A
82,8.564296,5.5289955,m6A
83,7.374362,5.4758267,m6A
84,-1.7710295,4.607546,m6A
85,8.671571,4.5981016,m6A
86,10.53973,6.8236303,m6A
87,1.2261229,8.251073,m6A
88,9.649045,4.661419,m6A
89,8.424669,3.2576103,m6A
90,5.7060914,1.5052071,m6A
91,10.998918,8.679566,m6A
92,-2.4624655,5.997886,m6A
93,-1.8581587,4.525309,m6A
94,9.274627,3.279518,m6A
95,1.9677999,8.2022915,m6A
96,6.11313,2.6071992,m6A
97,6.871485,5.5337806,m6A
98,6.9111094,5.8029094,m6A
99,4.5868034,3.2545216,m6A
100,5.640937,1.5011747,m6A
101,3.3745105,2.0472102,m6A
102,9.470671,3.4229898,m6A
103,3.3726642,2.153667,m6A
104,7.8035927,5.4848084,m6A
105,-2.1236393,4.6233654,m6A
106,-2.5762632,6.0784664,m6A
107,10.698659,8.371473,m6A
108,6.239373,4.370412,m6A
109,10.954673,4.955511,m6A
110,-0.6176259,4.2060537,m6A
111,7.233253,5.2869573,m6A
112,5.2816076,2.7547364,m6A
113,9.663312,3.5132298,m6A
114,5.56892,3.0475516,m6A
115,9.56737,3.4139764,m6A
116,5.428494,2.859601,m6A
117,-2.9789364,5.385168,m6A
118,1.4645582,8.373853,m6A
119,10.709945,8.318588,m6A
120,10.951415,5.0079145,m6A
121,10.851313,8.141778,m6A
122,-2.3490818,5.9058905,m6A
123,6.6593523,4.458497,m6A
124,6.9135237,4.4094996,m6A
125,10.489122,8.839841,m6A
126,5.429163,2.8540914,m6A
127,8.150944,3.832575,m6A
128,6.269772,3.453545,m6A
129,-1.2099317,4.1161866,m6A
130,7.338504,5.293847,m6A
131,-1.852867,4.5334272,m6A
132,1.4070275,8.275559,m6A
133,5.01529,7.839477,m6A
134,5.2535515,2.857422,m6A
135,9.131979,6.863368,m6A
136,-0.86810565,4.140038,m6A
137,7.0916905,5.445737,m6A
138,11.284816,7.055941,m6A
